DaysOnMarket,Latitude,Longitude,BathroomsTotalInteger,LivingArea,FireplaceYN,YearBuilt,ParkingTotal,BedroomsTotal,PoolPrivateYN,LotSizeAcres,Stories
26,33.19447382,-117.22638292,3.0,2258.0,True,1967.0,6.0,3.0,False,0.3489,1.0
7,37.41562084,-121.86852278,2.0,1300.0,True,1964.0,2.0,3.0,False,0.1416,1.0
99,33.794581,-116.298364,2.0,1632.0,True,2001.0,2.0,2.0,False,0.13,1.0
14,34.156893,-117.344775,2.0,1056.0,True,1945.0,0.0,3.0,False,0.5041,1.0
3,34.688385,-118.21371299999998,3.0,2818.0,True,2003.0,3.0,5.0,True,0.1577,2.0
119,33.950465,-117.250021,3.0,1550.0,True,1985.0,2.0,3.0,False,0.18,2.0
2,39.41159,-123.797321,2.0,1620.0,True,1969.0,2.0,2.0,False,1.07,1.0
141,33.738736,-116.26797,2.0,1287.0,False,2024.0,2.0,3.0,False,0.1464,1.0
53,39.744897,-121.774821,3.0,1678.0,False,2024.0,2.0,4.0,False,0.1212,2.0
47,33.968449,-117.350757,3.0,1848.0,True,1908.0,10.0,5.0,False,0.19,2.0
21,33.810853,-117.194276,3.0,2311.0,False,2024.0,4.0,5.0,False,0.1822,2.0
75,32.96895197,-117.19928399,5.0,3484.0,False,2019.0,4.0,4.0,False,0.1449,2.0
26,33.970613,-117.894082,2.0,1525.0,True,1971.0,2.0,4.0,True,0.146,1.0
8,33.915099,-117.910252,3.0,1910.0,False,1954.0,2.0,4.0,False,0.1435,1.0
12,33.976132,-117.572286,3.0,2985.0,True,2004.0,3.0,5.0,False,0.15,2.0
90,33.796085999999995,-116.29658700000002,2.0,1914.0,True,2001.0,4.0,2.0,False,0.27,1.0
19,32.90561558,-117.10147548,3.0,2802.0,True,1985.0,6.0,5.0,True,0.1423,2.0
3,33.882956,-117.779914,3.0,2403.0,True,1989.0,4.0,3.0,False,0.0676,2.0
2,33.340207,-117.14861100000002,3.0,1985.0,False,2023.0,4.0,3.0,False,0.0623,2.0
6,39.722966,-121.82493,1.0,1313.0,False,1951.0,0.0,2.0,False,0.2,1.0
55,37.97003647,-122.01608309,3.0,4045.0,True,1948.0,2.0,6.0,False,0.3168,2.0
27,33.996445,-117.669054,3.0,2967.0,True,2016.0,2.0,5.0,False,0.101,2.0
12,37.50299826,-121.92238649,2.0,1749.0,True,1975.0,2.0,4.0,False,0.1377,1.0
13,37.82686603,-122.18734517,3.0,1928.0,True,1957.0,2.0,3.0,False,0.1182,2.0
30,33.684434,-117.393777,3.0,1914.0,True,1995.0,3.0,4.0,True,0.16,2.0
21,33.806105,-118.099662,2.0,1210.0,True,1951.0,2.0,2.0,False,0.1231,1.0
5,32.9469,-117.198724,3.0,2087.0,True,1996.0,6.0,4.0,False,0.1194,2.0
92,38.16243883,-121.60114938,3.0,2018.0,False,2010.0,6.0,3.0,False,0.0619,2.0
7,34.2575,-117.175732,3.0,1754.0,True,1963.0,0.0,3.0,False,0.1469,2.0
8,33.819715,-117.825969,3.0,2721.0,True,1965.0,2.0,4.0,True,0.1837,2.0
52,34.094796,-116.418715,2.0,1463.0,True,2005.0,2.0,3.0,False,0.2583,1.0
30,33.340528000000006,-117.149783,3.0,1985.0,True,2022.0,2.0,4.0,False,0.0743,2.0
28,34.163340000000005,-118.385908,2.0,1499.0,False,1940.0,4.0,3.0,False,0.1523,1.0
14,34.215841,-118.624259,2.0,1743.0,True,1956.0,2.0,4.0,False,0.1595,1.0
18,37.72960524,-122.13334033,3.0,3045.0,True,1956.0,2.0,3.0,False,0.2296,2.0
42,33.71919797,-117.13702573,3.0,2208.0,False,2020.0,5.0,4.0,False,0.296,2.0
69,33.897954,-118.205312,1.0,862.0,False,1959.0,2.0,2.0,False,0.1325,1.0
9,34.145481,-117.840997,2.0,1764.0,True,1962.0,2.0,3.0,True,0.2299,1.0
6,32.73675335,-117.04994593,2.0,1412.0,True,1961.0,4.0,3.0,False,0.1997,1.0
80,34.137772,-117.905279,3.0,2913.0,True,2008.0,2.0,3.0,True,0.1907,2.0
1,34.225066,-118.528163,2.0,1343.0,False,1954.0,2.0,4.0,False,0.1642,1.0
4,34.425841,-118.43511,2.0,1698.0,True,1980.0,2.0,4.0,False,0.1864,1.0
6,33.88957,-117.477928,2.0,1310.0,True,1978.0,2.0,3.0,False,0.21,1.0
3,33.795992,-117.213619,2.0,1197.0,True,1991.0,2.0,3.0,False,0.11,1.0
11,34.24566,-118.490506,2.0,1191.0,True,1955.0,2.0,3.0,True,0.1742,1.0
65,37.639132,-121.819104,3.0,2627.0,True,1998.0,3.0,4.0,False,0.1607,1.0
6,37.52173776,-122.28556263,3.0,2025.0,True,1959.0,2.0,4.0,False,0.1561,2.0
15,37.89264307,-122.28727327,2.0,1050.0,True,1965.0,1.0,2.0,False,0.0636,1.0
0,36.62778967,-121.92578304,2.0,1192.0,True,1938.0,2.0,2.0,True,0.1768,1.0
43,37.65577111,-121.86506667,2.0,1630.0,True,1960.0,2.0,3.0,False,0.2017,1.0
